* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Sep 16 2019 00:32:52

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX1K
Package, VQ100

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, not used, , , , , , leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, spi_miso, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, mcu_rst, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
8, PIO, boot0, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
9, PIO, not used, , , , , , leftBank
10, PIO, not used, , , , , , leftBank
11, VCC, not used, , , , , , UnknownBank
12, PIO, not used, , , , , , leftBank
13, PIO_GBIN, not used, , , , , , leftBank
14, VCCIO_3, not used, , , , , , leftBank
15, PIO_GBIN, not used, , , , , , leftBank
16, PIO, not used, , , , , , leftBank
17, GND, not used, , , , , , UnknownBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO, gpio[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
21, PIO, gpio[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
22, VCCIO_3, not used, , , , , , leftBank
23, GND, not used, , , , , , UnknownBank
24, PIO, gpio[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
25, PIO, gpio[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
26, PIO, not used, , , , , , bottomBank
27, PIO, not used, , , , , , bottomBank
28, PIO, not used, , , , , , bottomBank
29, PIO, not used, , , , , , bottomBank
30, PIO, not used, , , , , , bottomBank
31, VCCIO_2, not used, , , , , , bottomBank
32, GND, not used, , , , , , UnknownBank
33, PIO_GBIN, not used, , , , , , bottomBank
34, PIO_GBIN, not used, , , , , , bottomBank
35, VCC, not used, , , , , , UnknownBank
36, PIO, not used, , , , , , bottomBank
37, PIO, not used, , , , , , bottomBank
38, VCCIO_2, not used, , , , , , bottomBank
39, GND, not used, , , , , , UnknownBank
40, PIO, not used, , , , , , bottomBank
41, PIO, not used, , , , , , bottomBank
42, PIO, not used, , , , , , bottomBank
43, CDONE, not used, , , , , , bottomBank
44, CRESET_B, not used, , , , , , bottomBank
45, SPI_SO, ice_sdo, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
46, SPI_SI, not used, , , , , , bottomBank
47, GND, not used, , , , , , UnknownBank
48, SPI_SCK, not used, , , , , , bottomBank
49, SPI_SS_B, not used, , , , , , bottomBank
50, VDDIO_SPI, not used, , , , , , bottomBank
51, PIO, not used, , , , , , rightBank
52, PIO, cpu_dir, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
53, PIO, cpu_addr[8], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
54, PIO, not used, , , , , , rightBank
55, GND, not used, , , , , , UnknownBank
56, PIO, cpu_addr[9], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
57, PIO, not used, , , , , , rightBank
58, VCCIO_1, not used, , , , , , rightBank
59, PIO, not used, , , , , , rightBank
60, PIO, not used, , , , , , rightBank
61, VCC, not used, , , , , , UnknownBank
62, PIO_GBIN, not used, , , , , , rightBank
63, PIO_GBIN, cpu_dat[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
64, PIO, cpu_dat[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
65, PIO, cpu_dat[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
66, PIO, cpu_dat[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
67, VCCIO_1, not used, , , , , , rightBank
68, PIO, cpu_dat[4], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
69, PIO, cpu_dat[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
70, GND, not used, , , , , , UnknownBank
71, PIO, cpu_dat[6], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
72, PIO, cpu_dat[7], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
73, PIO, cpu_ex, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
74, PIO, cpu_rw, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
75, VPP_PUMP, not used, , , , , , UnknownBank
76, VPP_DIRECT, not used, , , , , , UnknownBank
77, VCC, not used, , , , , , UnknownBank
78, PIO, cpu_ce, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
79, PIO, cpu_addr[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
80, PIO, cpu_addr[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
81, PIO, cpu_addr[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
82, PIO, cpu_addr[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
83, PIO, cpu_addr[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
84, GND, not used, , , , , , UnknownBank
85, PIO, cpu_addr[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
86, PIO, cpu_addr[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
87, PIO, cpu_addr[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
88, VCCIO_0, not used, , , , , , topBank
89, PIO_GBIN, cpu_m2, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
90, PIO_GBIN, clk, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, topBank
91, PIO, boot_on, Input, , SB_LVCMOS, Pull Up, Simple Input, topBank
92, VCCIO_0, not used, , , , , , topBank
93, PIO, not used, , , , , , topBank
94, PIO, not used, , , , , , topBank
95, PIO, not used, , , , , , topBank
96, PIO, not used, , , , , , topBank
97, PIO, not used, , , , , , topBank
98, GND, not used, , , , , , UnknownBank
99, PIO, not used, , , , , , topBank
100, PIO, not used, , , , , , topBank
Total Number of Used Pins, 33
